year,area,production
2011,2481.0,600
2010,11865.0,10661
2002,30440.0,11440
2003,160159.0,250992
2005,2370.0,871
2013,1.0,4
2008,497803.0,1566921
2011,105350.0,3967751
2001,2902.0,1478
2005,81621.0,282618
2013,300.0,142
2019,540.0,580
2013,3375.0,2531
2003,16054.0,261765
2014,700.0,100
2000,3527.0,1000
2006,189486.0,83842
2017,9378.0,341048
2000,1777257.0,2759652
2002,6.0,4
2005,1499.0,462
2000,233.0,324
1999,1520577.0,680774
2012,331839.0,159868
2017,10515.0,3030
2016,1953.0,47999
2017,1106.0,473
2008,412488.0,315330
2003,11397.0,6002
2014,1000.0,576
2014,1124.0,960
2007,158691.0,46213
2012,196000.0,15448000
2002,207.0,397
2012,1076.0,1517
2018,161039.0,11664869
2018,460.0,803
2019,2533800.0,11876900
2001,11054.0,6408
1998,37995.0,6669
2019,5424.0,35658
2012,703261.0,962061
2011,750.0,540
2017,24016.0,12297
2006,360.0,225
2017,902035.0,82539200
2018,1555.0,18663
2010,1250.0,1629
2006,57395.0,98246
2005,46.0,42
2012,14100.0,5400
2019,5.0,4
2017,3342.0,1275
2000,107157.0,16977
2004,53629.0,458390
2015,541000.0,390000
2010,4002.0,7400
2011,150217.0,90101
2010,912.0,519
1998,57700.0,144872
2011,460.0,637
2013,4444.0,29293
2017,2270.0,1390
2017,240.0,1174
2014,110.0,99
2018,2550.0,5253
2012,306.0,589
2015,115000.0,424000
2010,9800.0,4190
1998,24858.0,121000000
2012,221337.0,1776427
2005,900.0,1800
2019,60678.0,548425
2014,235479.0,475144
2010,212680.0,480240
2010,119207.0,159286
2017,46028.0,108435
2016,35151.0,223546
1997,231.0,271
2002,112354.0,35523
2014,0.8,2
2009,1300.0,1885
2006,23662.0,22002
2009,2430.0,30132
2011,419473.0,380914
2019,223892.0,13578832
2011,345182.0,506782
1999,46824.0,23880
2000,1403.0,857
2019,25659.0,79891
2015,4986.01,22044
2011,2140.0,2274
2006,39.0,20
2002,394.0,112
2015,313428.0,191530
2016,1850.0,1968
2019,1.0,0
2013,2491.0,8106
2012,276.0,172
2003,201785.0,68268
2014,66739.0,73869
2001,9255937.0,25498002
2018,9048.0,30635
2000,26301.0,27252
2019,126.0,319
2002,299548.0,183922
2010,115803.0,321962
2013,2437.0,1165
2012,286000.0,549000
2002,26000.0,85000
2000,5644.0,2358
2017,3352.0,4442
2018,1865.0,1992
2016,8412.0,23024
1999,5046.0,11895
2004,10071.0,5451
2003,26550.0,240340
2016,200062.0,354388
2001,16.0,251
2009,1813.0,334
2008,65.0,286
2003,1370.0,716
2014,275861.0,344823
2001,164169.0,229732
2006,20230.0,16163
1997,2057000.0,7528000
2003,10647.0,3109
2019,17194.0,45024
2018,1839.0,637
2003,460893.0,278840
2004,6733.0,4751
2008,10763.0,646243
2003,321189.0,532620
2019,55722.0,51278
2000,4265.0,5351
2013,6046.0,30513
2012,17612.0,40948
2011,4800.0,1600
2017,63117.0,278946
2011,13138.0,142324
2008,797944.0,1167342
2010,2060.0,16977
2014,1042.0,1472
2009,2773.0,233
2016,300.0,264
2009,3329.0,1237
2002,319607.0,213639
2009,1.0,1
2011,86.0,61
1999,8.0,4
2016,3380.0,2986
2006,1052.0,562
2002,10000.0,20000
1997,17317.0,2853
2013,419.0,143
2008,268600.0,257181
1997,1826300.0,2453600
2012,7036.0,4531
2007,28000.0,33000
2007,1836.0,2037
2018,1296051.0,3407725
2019,35.0,26
2002,1000.0,5000
2019,95479.0,83000
2006,12.0,3
2004,29029.16,23846
2004,465.0,100
2011,196.56,76
2017,29004.0,23589
2011,6940.0,6310
2016,1013.0,757
2013,225010.0,250454
2003,21309.0,154284000
2016,27899.0,11114
2008,740.0,740
2016,68664.0,2529729
2006,273662.0,540128
2014,103195.0,153321
2011,3889.0,34563
2009,332.0,274
2008,7421.0,30809
2011,1295.0,1705
2001,5800.0,3791
2010,11888.0,6759
2013,877885.0,3636603
2010,433.0,202
1999,10248.0,5323
2006,656.0,1183
2002,1672.0,492
2001,85500.0,145300
2017,1788800.0,1744360
1999,4010.0,2350
1999,2608081.0,2507120
2010,4476900.0,4750000
2017,13987.0,6963
2011,422.0,362
2012,2632.0,929
2005,354455.0,7462464
2009,23585.0,132526
2019,2000.0,2200
2013,44.0,62
2018,4619.0,25561
2019,933.0,330
1999,290330.0,96910
1999,211622.0,90512
2015,4973.0,2002
2003,201165.0,281430
2010,918.0,694
2004,140741.0,73217
2017,2552.0,30748
2003,14740.0,21190
2013,352.0,2962
2003,38605.0,54510
2016,5688.0,68184
2010,94394.0,33321
2012,3982172.0,7848401
2012,250344.0,12741415
2008,1380.0,2070
2005,883984.0,1551359
2007,3195400.0,7014900
2001,102898.0,25705
2000,833007.0,702718
2008,110800.0,58000
2014,49.0,0
1999,4248946.0,8463310
2006,71963.0,22894
2011,3459.0,1459
2009,2500.0,500
2019,500.0,1248
2000,169312.0,51172
2016,12684.0,10561
2014,33.0,16
2017,79344.0,2715116
2011,16200.0,13300
2011,19526.0,12871
2005,37.0,18
2007,25240.0,90290
2005,3275.0,29564
2016,3309.0,7482
2007,463000.0,302000
2004,19007.0,8288
2011,2950.0,2840
2003,6092.0,2076
2015,15.0,9
2010,226534.0,748159
2007,2823.0,4212
2011,1841.0,1519
2004,443.0,2632
2017,288.0,382
1997,5915.0,29003
2002,388.0,1030
2004,24161.0,15814
2007,174000.0,636000
2011,1990.0,1520
2008,3122.0,716
2015,24362.0,102073
2009,290199.0,530224
2011,3743.0,5058
1997,913000.0,2556000
1998,2812400.0,7005800
2014,59534.0,78546
2002,5300.0,3800
2005,20591.0,123362
1997,502797.0,1391132
2007,1321.0,13800
1999,50.0,30
1999,150.0,90
2005,100798.0,63879
2008,4573.0,1836
2007,1027.0,1421
2003,660.0,755
2019,2282.0,2367
2013,121485.0,49274
2010,50248.0,20765
2008,695.0,148
2002,98060.0,15560
2014,322820.0,63599
2002,8199.0,84614
2008,2250.0,3130
2018,2734.0,2422
2019,17645.0,17645
2010,30443.0,13944
2006,2002.0,77709
2018,2962.0,2890
2015,3910.0,7700
2019,360.0,240
2015,51579.0,33941
2014,7378.0,2376
2009,9429.0,2343
2001,39156.0,473407
2013,24090.0,48239
2017,1857.0,3524
2019,463374.0,453266
2000,4110.0,21879
2002,449000.0,1083000
2002,114190.0,73450
2001,11900.0,3250
2001,37000.0,54500
2004,25.0,26
2014,41.0,54
2000,11612.0,42699
2011,8510.0,8040
1998,106935.0,5101066
2009,618202.0,508556
2015,14582.0,18735
2014,728050.0,474035
2006,10016.0,8796
2002,35.0,10
2016,43.0,250
2017,70193.0,2697319
2000,42534.0,590095
2005,8455.0,5827
2019,1584.0,1750
2015,7053.0,12058
2012,1057.0,763
1998,1048.0,2124
2008,33900.0,198800
2016,1287.0,1277
2010,112.0,49
2007,81400.0,110900
2010,275200.0,345500
2017,290.0,80
2018,18220.0,23999
2018,3199.0,2571
2014,574.0,587
2015,235970.0,612966
2015,810.0,3443
2018,51000.0,78030
2006,563.0,301
2016,1579.0,1185
2000,1600.0,2500
2014,1421.0,1683
2008,2700.0,2500
2007,152000.0,52000
2018,5.0,10
2005,7800.0,6900
2012,3550.0,8950
2012,1219400.0,612000
2008,1398900.0,3568251
2011,23642.0,59496
2019,561.0,1342
2009,29237.0,42540
2019,5.0,20
2013,103.0,0
2006,25480.0,30620
2014,164.0,48
2009,3030.0,28580
1999,1045704.0,1579408
2007,32.0,6
2005,25235.0,29361
2006,399.0,242
2001,41427.0,1612840
2009,19997.0,134624
2017,19917.0,178353000
1999,3077.0,2320
2009,41593.0,7800
2013,2022.0,7289
2005,621.0,590
2008,5238.0,8949
2014,627.0,5079
2017,50.0,46
2011,315659.0,872895
2009,1098.0,7684
2006,61418.0,42719
2002,3390.0,26917
2017,44436.0,111619
1999,6079822.0,13230539
2006,34163.0,10521
2018,11120.0,13590
2014,1750.0,2895
2010,8.0,13
2016,444267.0,260048
2008,17451.0,73956
1998,58878.0,25071
2015,63670.0,160722
2015,29285.0,1093397
2013,6130.0,5642
1999,336.0,392
2015,55352.0,255082
2000,151.0,46
2000,162445.0,336416
2010,261347.0,507404
2012,2.0,2
2006,49069.0,155979
2000,109681.0,4017008
2009,603.0,318
2000,9686.0,3637
2003,38855.0,48100
2004,121642.0,134950
2014,10522.0,62732
2001,1835.0,19616
2017,85141.0,37955
1997,864228.0,1252811
2006,12677.0,5846
2001,1104900.0,1385500
2012,500.0,500
2010,172692.0,162224
2008,78317.0,515740
2004,311437.0,610136
2017,33701.0,30342
1997,4700.0,1900
2008,1945.0,162323
2010,2100.0,5250
2009,812456.0,1018820
1999,34.0,10
2015,41696.0,49826
2003,1589100.0,2219200
2015,104738.0,119397
2017,38331.0,14818
2005,456900.0,722400
2011,934836.0,714847
2006,1106630.0,332732
2011,23434.0,20272
2003,33220.0,431463
2007,4260.0,1162
2017,98040.0,5432600
1998,1465.0,732
2014,45415.0,122104
2015,339851.0,788503
2000,1401841.0,4541328
2015,5240.0,2036
2004,32348.0,140083
2016,1019.0,1604
2007,140092.0,5912307
1997,124429.0,236446
2003,271671.0,520831
2009,614365.0,9324967
2019,426080.0,769480
1998,383.0,1790
2006,145532.0,115262
2014,16833.0,208515
1998,10.0,20
2011,275.0,300
2015,7.0,3
2007,234804.0,122897
2019,223.0,105
2015,103950.0,258320
2014,43663.0,23591
2019,3.0,6
2015,22631.6,1535834
2015,11.0,8
2010,25.0,32
2014,2660.0,7500
2005,52720.0,74525
2006,100339.0,220864
2017,59826.0,58153
2015,2360.0,3210
2005,1419.0,440
2015,447.0,472
2019,20712.0,14628
2017,61070.0,55220
2013,25804.0,10458
2002,1179.0,920
2010,13019.0,12300
2013,293360.0,43190
2012,608.0,432
2014,16370.0,218409
1997,252400.0,252100
2006,2382.0,16735
2008,173100.0,345090
2005,29.0,15
2008,4800.0,2880
2004,40906.0,980481
2014,1369.0,1395
2016,798.0,280
1999,3086.0,1624
2004,96718.0,26000
2010,792.0,6456
2001,4676.0,4222
2010,8210.0,61661
2006,1236.0,1415
2006,13900.0,4900
2002,149369.0,21266
2015,1874.0,37516
2012,48249.0,17465
2009,47231.0,21816
2009,29900.0,21900
2001,2581.0,3700
2017,78897.0,167377
2018,486.0,1904
2017,12214.0,8344
2000,28464.0,25009
2018,1258.0,1393
2012,495051.0,440572
2011,4166700.0,6820100
2018,26579.0,153767
2009,90652.0,61093
2016,80.0,120
2019,500.0,300
1997,6719.0,379133
2001,50507.0,761365
2002,7000.0,6000
2015,1970.0,2392
2015,2939.0,929
2014,1131000.0,2530000
2005,300.0,1222
1999,7365.0,17167
2014,3301.0,30090
2001,400.0,400
1998,20117.0,39000
2016,4100.0,15989
2006,280.0,254
2005,8501.0,5671
2001,38480.0,312850
1998,40907.0,47295
2009,10024.0,8062
2007,22626.0,209564
2008,291.0,312
2010,23385.0,7041
2007,5184.0,1624
1998,297.0,288
2003,93.0,184
2003,4501000.0,6801000
1998,39112.0,24271
2008,2782.0,6364
2006,264333.0,21691638
2007,4647.0,12395
2012,2980.0,2960
2008,308800.0,32798888
2015,599083.0,1099880
1999,650.0,21230
2011,1221076.0,3875100
2012,2208.0,12831
2006,6900.0,6400
1998,12763.0,21487
2017,1596.0,7003
2013,1725730.0,7115195
2000,6.0,6
2006,900.0,1440
2016,5075.0,16342
2000,69513.0,668439
2016,548.0,297
2005,438.0,314
2004,314422.0,243677
2018,1712.0,1348
2011,55.0,28
2015,18532.0,2440
2006,887.0,2728
2017,245096.0,256859
2015,604.0,495
2019,52802.0,38529
2010,416.0,100
2013,1085991.0,680825
1998,128.0,30
2016,10291.0,7667
2010,568463.0,8137465
1997,4565.0,7895
2017,195.0,396
2019,7284.0,94870
2008,238500.0,84900
2019,394.0,421
2018,328.0,8848
2011,16803.0,18200
2019,36504.0,375719
2018,60806.0,129017
2001,301498.0,246625
2016,605.0,443
2013,3500.0,31920
2005,398316.0,398077
2015,118.0,43
2008,2140.0,2990
2014,72389.0,90950
2016,290301.0,548542
2006,4461.0,3500
2004,755700.0,1016300
2012,28871.0,1028161
2012,104.0,84
2018,1.0,6
1997,30000.0,30000
2002,4292.0,9411
2018,14265.0,28393
